route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RDEC16-801-1_Weekday-14,41202905,,1,131,801SB_120323
801,RDEC16-801-1_Weekday-14,41202906,,1,102,801SB_120323
801,RDEC16-801-1_Weekday-14,41202907,,1,133,801SB_120323
801,RDEC16-801-1_Weekday-14,41202908,,1,104,801SB_120323
801,RDEC16-801-1_Weekday-14,41202909,,1,124,801SB_120323
801,RDEC16-801-1_Weekday-14,41202910,,1,125,801SB_120323
801,RDEC16-801-1_Weekday-14,41202911,,1,126,801SB_120323
801,RDEC16-801-1_Weekday-14,41202912,,1,110,801SB_120323
801,RDEC16-801-1_Weekday-14,41202913,,1,107,801SB_120323
801,RDEC16-801-1_Weekday-14,41202914,,1,105,801SB_120323
801,RDEC16-801-1_Weekday-14,41202915,,1,122,801SB_120323
801,RDEC16-801-1_Weekday-14,41202916,,1,123,801SB_120323
801,RDEC16-801-1_Weekday-14,41202917,,1,124,801SB_120323
801,RDEC16-801-1_Weekday-14,41202918,,1,125,801SB_120323
801,RDEC16-801-1_Weekday-14,41202919,,1,126,801SB_120323
801,RDEC16-801-1_Weekday-14,41202920,,1,133,801SB_120323
801,RDEC16-801-1_Weekday-14,41202921,,1,110,801SB_120323
801,RDEC16-801-1_Weekday-14,41202922,,1,105,801SB_120323
801,RDEC16-801-1_Weekday-14,41202923,,1,127,801SB_120323
801,RDEC16-801-1_Weekday-14,41202924,,1,128,801SB_120323
801,RDEC16-801-1_Weekday-14,41202925,,1,121,801SB_120323
801,RDEC16-801-1_Weekday-14,41202926,,1,111,801SB_120323
801,RDEC16-801-1_Weekday-14,41202927,,1,103,801SB_120323
801,RDEC16-801-1_Weekday-14,41202928,,1,132,801SB_120323
801,RDEC16-801-1_Weekday-14,41202929,,1,106,801SB_120323
801,RDEC16-801-1_Weekday-14,41202930,,1,131,801SB_120323
801,RDEC16-801-1_Weekday-14,41202931,,1,102,801SB_120323
801,RDEC16-801-1_Weekday-14,41202932,,1,128,801SB_120323
801,RDEC16-801-1_Weekday-14,41202933,,0,104,801NB_120323
801,RDEC16-801-1_Weekday-14,41202934,,0,107,801NB_120323
801,RDEC16-801-1_Weekday-14,41202935,,0,122,801NB_120323
801,RDEC16-801-1_Weekday-14,41202936,,0,123,801NB_120323
801,RDEC16-801-1_Weekday-14,41202937,,0,111,801NB_120323
801,RDEC16-801-1_Weekday-14,41202938,,0,103,801NB_120323
801,RDEC16-801-1_Weekday-14,41202939,,0,132,801NB_120323
801,RDEC16-801-1_Weekday-14,41202940,,0,106,801NB_120323
801,RDEC16-801-1_Weekday-14,41202941,,1,108,801SB_120323
801,RDEC16-801-1_Weekday-14,41202942,,1,110,801SB_120323
801,RDEC16-801-1_Weekday-14,41202943,,1,109,801SB_120323
801,RDEC16-801-1_Weekday-14,41202944,,1,102,801SB_120323
801,RDEC16-801-1_Weekday-14,41202945,,0,121,801NB_120323
801,RDEC16-801-1_Weekday-14,41202946,,0,123,801NB_120323
801,RDEC16-801-1_Weekday-14,41202947,,1,123,801SB_120323
801,RDEC16-801-1_Weekday-14,41202948,,0,131,801NB_120323
806,RDEC16-801-1_Weekday-14,41202950,,1,606,806SB_160306
806,RDEC16-801-1_Weekday-14,41202951,,1,608,806SB_160306
806,RDEC16-801-1_Weekday-14,41202952,,1,607,806SB_160306
806,RDEC16-801-1_Weekday-14,41202953,,1,609,806SB_160306
806,RDEC16-801-1_Weekday-14,41202954,,1,601,806SB_160306
806,RDEC16-801-1_Weekday-14,41202955,,1,602,806SB_160306
806,RDEC16-801-1_Weekday-14,41202956,,1,603,806SB_160306
806,RDEC16-801-1_Weekday-14,41202957,,1,604,806SB_160306
806,RDEC16-801-1_Weekday-14,41202958,,1,605,806SB_160306
806,RDEC16-801-1_Weekday-14,41202959,,1,606,806SB_160306
806,RDEC16-801-1_Weekday-14,41202960,,1,608,806SB_160306
806,RDEC16-801-1_Weekday-14,41202961,,1,607,806SB_160306
806,RDEC16-801-1_Weekday-14,41202962,,1,609,806SB_160306
806,RDEC16-801-1_Weekday-14,41202963,,1,601,806SB_160306
806,RDEC16-801-1_Weekday-14,41202964,,1,602,806SB_160306
806,RDEC16-801-1_Weekday-14,41202965,,1,603,806SB_160306
806,RDEC16-801-1_Weekday-14,41202966,,1,604,806SB_160306
806,RDEC16-801-1_Weekday-14,41202967,,1,605,806SB_160306
806,RDEC16-801-1_Weekday-14,41202968,,1,606,806SB_160306
806,RDEC16-801-1_Weekday-14,41202969,,1,608,806SB_160306
806,RDEC16-801-1_Weekday-14,41202970,,1,607,806SB_160306
806,RDEC16-801-1_Weekday-14,41202971,,1,609,806SB_160306
806,RDEC16-801-1_Weekday-14,41202973,,1,601,806SB_160306
806,RDEC16-801-1_Weekday-14,41202974,,1,602,806SB_160306
806,RDEC16-801-1_Weekday-14,41202976,,1,604,806SB_160306
806,RDEC16-801-1_Weekday-14,41202977,,1,605,806SB_160306
806,RDEC16-801-1_Weekday-14,41202979,,1,608,806SB_160306
806,RDEC16-801-1_Weekday-14,41202980,,1,607,806SB_160306
806,RDEC16-801-1_Weekday-14,41202982,,1,609,806SB_160306
806,RDEC16-801-1_Weekday-14,41202983,,1,601,806SB_160306
806,RDEC16-801-1_Weekday-14,41202985,,1,602,806SB_160306
806,RDEC16-801-1_Weekday-14,41202986,,1,604,806SB_160306
806,RDEC16-801-1_Weekday-14,41202988,,1,605,806SB_160306
806,RDEC16-801-1_Weekday-14,41202989,,1,608,806SB_160306
806,RDEC16-801-1_Weekday-14,41202991,,1,607,806SB_160306
806,RDEC16-801-1_Weekday-14,41202992,,1,609,806SB_160306
806,RDEC16-801-1_Weekday-14,41202994,,1,601,806SB_160306
806,RDEC16-801-1_Weekday-14,41202996,,1,602,806SB_160306
806,RDEC16-801-1_Weekday-14,41202997,,1,604,806SB_160306
806,RDEC16-801-1_Weekday-14,41202998,,1,605,806SB_160306
806,RDEC16-801-1_Weekday-14,41202999,,1,608,806SB_160306
806,RDEC16-801-1_Weekday-14,41203000,,1,607,806SB_160306
806,RDEC16-801-1_Weekday-14,41203001,,1,611,806SB_160306
806,RDEC16-801-1_Weekday-14,41203002,,1,609,806SB_160306
806,RDEC16-801-1_Weekday-14,41203003,,1,601,806SB_160306
806,RDEC16-801-1_Weekday-14,41203004,,1,612,806SB_160306
806,RDEC16-801-1_Weekday-14,41203005,,1,602,806SB_160306
806,RDEC16-801-1_Weekday-14,41203006,,1,604,806SB_160306
806,RDEC16-801-1_Weekday-14,41203007,,1,605,806SB_160306
806,RDEC16-801-1_Weekday-14,41203008,,1,608,806SB_160306
806,RDEC16-801-1_Weekday-14,41203009,,1,607,806SB_160306
806,RDEC16-801-1_Weekday-14,41203010,,1,611,806SB_160306
806,RDEC16-801-1_Weekday-14,41203011,,1,609,806SB_160306
806,RDEC16-801-1_Weekday-14,41203012,,1,601,806SB_160306
806,RDEC16-801-1_Weekday-14,41203013,,1,612,806SB_160306
806,RDEC16-801-1_Weekday-14,41203014,,1,602,806SB_160306
806,RDEC16-801-1_Weekday-14,41203015,,1,604,806SB_160306
806,RDEC16-801-1_Weekday-14,41203016,,1,605,806SB_160306
806,RDEC16-801-1_Weekday-14,41203017,,1,607,806SB_160306
806,RDEC16-801-1_Weekday-14,41203018,,0,607,806NB_160306
806,RDEC16-801-1_Weekday-14,41203019,,0,609,806NB_160306
806,RDEC16-801-1_Weekday-14,41203020,,0,601,806NB_160306
806,RDEC16-801-1_Weekday-14,41203021,,0,602,806NB_160306
806,RDEC16-801-1_Weekday-14,41203022,,0,603,806NB_160306
806,RDEC16-801-1_Weekday-14,41203023,,0,604,806NB_160306
806,RDEC16-801-1_Weekday-14,41203024,,0,605,806NB_160306
806,RDEC16-801-1_Weekday-14,41203025,,0,606,806NB_160306
806,RDEC16-801-1_Weekday-14,41203026,,0,608,806NB_160306
806,RDEC16-801-1_Weekday-14,41203027,,0,607,806NB_160306
806,RDEC16-801-1_Weekday-14,41203028,,0,609,806NB_160306
806,RDEC16-801-1_Weekday-14,41203029,,0,601,806NB_160306
806,RDEC16-801-1_Weekday-14,41203030,,0,602,806NB_160306
806,RDEC16-801-1_Weekday-14,41203031,,0,603,806NB_160306
806,RDEC16-801-1_Weekday-14,41203032,,0,604,806NB_160306
806,RDEC16-801-1_Weekday-14,41203033,,0,605,806NB_160306
806,RDEC16-801-1_Weekday-14,41203034,,0,606,806NB_160306
806,RDEC16-801-1_Weekday-14,41203035,,0,608,806NB_160306
806,RDEC16-801-1_Weekday-14,41203036,,0,607,806NB_160306
806,RDEC16-801-1_Weekday-14,41203037,,0,609,806NB_160306
806,RDEC16-801-1_Weekday-14,41203038,,0,601,806NB_160306
806,RDEC16-801-1_Weekday-14,41203039,,0,602,806NB_160306
806,RDEC16-801-1_Weekday-14,41203041,,0,604,806NB_160306
806,RDEC16-801-1_Weekday-14,41203043,,0,605,806NB_160306
806,RDEC16-801-1_Weekday-14,41203044,,0,608,806NB_160306
806,RDEC16-801-1_Weekday-14,41203046,,0,607,806NB_160306
806,RDEC16-801-1_Weekday-14,41203047,,0,609,806NB_160306
806,RDEC16-801-1_Weekday-14,41203049,,0,601,806NB_160306
806,RDEC16-801-1_Weekday-14,41203050,,0,602,806NB_160306
806,RDEC16-801-1_Weekday-14,41203052,,0,604,806NB_160306
806,RDEC16-801-1_Weekday-14,41203053,,0,605,806NB_160306
806,RDEC16-801-1_Weekday-14,41203055,,0,608,806NB_160306
806,RDEC16-801-1_Weekday-14,41203056,,0,607,806NB_160306
806,RDEC16-801-1_Weekday-14,41203058,,0,609,806NB_160306
806,RDEC16-801-1_Weekday-14,41203059,,0,601,806NB_160306
806,RDEC16-801-1_Weekday-14,41203061,,0,602,806NB_160306
806,RDEC16-801-1_Weekday-14,41203062,,0,604,806NB_160306
806,RDEC16-801-1_Weekday-14,41203064,,0,605,806NB_160306
806,RDEC16-801-1_Weekday-14,41203065,,0,608,806NB_160306
806,RDEC16-801-1_Weekday-14,41203066,,0,607,806NB_160306
806,RDEC16-801-1_Weekday-14,41203067,,0,611,806NB_160306
806,RDEC16-801-1_Weekday-14,41203068,,0,609,806NB_160306
806,RDEC16-801-1_Weekday-14,41203069,,0,601,806NB_160306
806,RDEC16-801-1_Weekday-14,41203070,,0,612,806NB_160306
806,RDEC16-801-1_Weekday-14,41203071,,0,602,806NB_160306
806,RDEC16-801-1_Weekday-14,41203072,,0,604,806NB_160306
806,RDEC16-801-1_Weekday-14,41203073,,0,605,806NB_160306
806,RDEC16-801-1_Weekday-14,41203074,,0,608,806NB_160306
806,RDEC16-801-1_Weekday-14,41203075,,0,607,806NB_160306
806,RDEC16-801-1_Weekday-14,41203076,,0,611,806NB_160306
806,RDEC16-801-1_Weekday-14,41203077,,0,609,806NB_160306
806,RDEC16-801-1_Weekday-14,41203078,,0,601,806NB_160306
806,RDEC16-801-1_Weekday-14,41203079,,0,612,806NB_160306
806,RDEC16-801-1_Weekday-14,41203080,,0,602,806NB_160306
806,RDEC16-801-1_Weekday-14,41203081,,0,604,806NB_160306
806,RDEC16-801-1_Weekday-14,41203082,,0,605,806NB_160306
806,RDEC16-801-1_Weekday-14,41203083,,0,608,806NB_160306
806,RDEC16-801-1_Weekday-14,41203084,,0,607,806NB_160306
806,RDEC16-801-1_Weekday-14,41203085,,0,611,806NB_160306
806,RDEC16-801-1_Weekday-14,41203086,,0,609,806NB_160306
806,RDEC16-801-1_Weekday-14,41203087,,0,601,806NB_160306
801,RDEC16-801-1_Weekday-14,41203088,,0,106,801NB_120323
801,RDEC16-801-1_Weekday-14,41203090,,0,112,801NB_120323
801,RDEC16-801-1_Weekday-14,41203091,,0,124,801NB_120323
801,RDEC16-801-1_Weekday-14,41203092,,1,104,801SB_120323
806,RDEC16-801-1_Weekday-14,41203093,,1,605,806SB_160306
801,RDEC16-801-1_Weekday-14,41203094,,0,104,801NB_120323
806,RDEC16-801-1_Weekday-14,41203095,,1,604,806SB_160306
801,RDEC16-801-1_Weekday-14,41203097,,1,105,801SB_120323
801,RDEC16-801-1_Weekday-14,41203098,,0,110,801NB_120323
806,RDEC16-801-1_Weekday-14,41203099,,0,612,806NB_160306
801,RDEC16-801-1_Weekday-14,41203100,,1,107,801SB_120323
801,RDEC16-801-1_Weekday-14,41203102,,0,103,801NB_120323
806,RDEC16-801-1_Weekday-14,41203103,,0,602,806NB_160306
801,RDEC16-801-1_Weekday-14,41203106,,0,101,801NB_120323
801,RDEC16-801-1_Weekday-14,41203107,,1,122,801SB_120323
801,RDEC16-801-1_Weekday-14,41203108,,0,105,801NB_120323
806,RDEC16-801-1_Weekday-14,41203115,,1,611,806SB_160306
801,RDEC16-801-1_Weekday-14,41203116,,0,106,801NB_120323
801,RDEC16-801-1_Weekday-14,41203117,,1,121,801SB_120323
801,RDEC16-801-1_Weekday-14,41203118,,0,105,801NB_120323
806,RDEC16-801-1_Weekday-14,41203119,,1,608,806SB_160306
801,RDEC16-801-1_Weekday-14,41203120,,1,121,801SB_120323
801,RDEC16-801-1_Weekday-14,41203121,,0,110,801NB_120323
801,RDEC16-801-1_Weekday-14,41203122,,1,103,801SB_120323
806,RDEC16-801-1_Weekday-14,41203124,,1,601,806SB_160306
801,RDEC16-801-1_Weekday-14,41203125,,0,132,801NB_120323
806,RDEC16-801-1_Weekday-14,41203126,,0,601,806NB_160306
801,RDEC16-801-1_Weekday-14,41203132,,0,105,801NB_120323
801,RDEC16-801-1_Weekday-14,41203133,,1,127,801SB_120323
801,RDEC16-801-1_Weekday-14,41203135,,1,119,801SB_120323
801,RDEC16-801-1_Weekday-14,41203138,,0,102,801NB_120323
801,RDEC16-801-1_Weekday-14,41203139,,0,133,801NB_120323
801,RDEC16-801-1_Weekday-14,41203140,,0,104,801NB_120323
801,RDEC16-801-1_Weekday-14,41203141,,0,110,801NB_120323
801,RDEC16-801-1_Weekday-14,41203142,,0,107,801NB_120323
801,RDEC16-801-1_Weekday-14,41203143,,0,105,801NB_120323
801,RDEC16-801-1_Weekday-14,41203144,,0,111,801NB_120323
801,RDEC16-801-1_Weekday-14,41203145,,0,103,801NB_120323
801,RDEC16-801-1_Weekday-14,41203146,,0,132,801NB_120323
801,RDEC16-801-1_Weekday-14,41203147,,0,106,801NB_120323
801,RDEC16-801-1_Weekday-14,41203148,,0,131,801NB_120323
801,RDEC16-801-1_Weekday-14,41203149,,0,102,801NB_120323
801,RDEC16-801-1_Weekday-14,41203150,,0,104,801NB_120323
801,RDEC16-801-1_Weekday-14,41203151,,0,110,801NB_120323
801,RDEC16-801-1_Weekday-14,41203152,,0,105,801NB_120323
801,RDEC16-801-1_Weekday-14,41203153,,0,103,801NB_120323
801,RDEC16-801-1_Weekday-14,41203154,,0,132,801NB_120323
801,RDEC16-801-1_Weekday-14,41203155,,0,131,801NB_120323
801,RDEC16-801-1_Weekday-14,41203156,,0,102,801NB_120323
801,RDEC16-801-1_Weekday-14,41203157,,0,104,801NB_120323
801,RDEC16-801-1_Weekday-14,41203158,,1,111,801SB_120323
801,RDEC16-801-1_Weekday-14,41203159,,1,103,801SB_120323
801,RDEC16-801-1_Weekday-14,41203160,,1,132,801SB_120323
801,RDEC16-801-1_Weekday-14,41203161,,1,106,801SB_120323
801,RDEC16-801-1_Weekday-14,41203162,,1,131,801SB_120323
801,RDEC16-801-1_Weekday-14,41203163,,1,133,801SB_120323
801,RDEC16-801-1_Weekday-14,41203164,,1,102,801SB_120323
801,RDEC16-801-1_Weekday-14,41203165,,1,104,801SB_120323
801,RDEC16-801-1_Weekday-14,41203166,,1,110,801SB_120323
801,RDEC16-801-1_Weekday-14,41203167,,1,105,801SB_120323
801,RDEC16-801-1_Weekday-14,41203168,,1,103,801SB_120323
801,RDEC16-801-1_Weekday-14,41203169,,1,132,801SB_120323
801,RDEC16-801-1_Weekday-14,41203170,,1,131,801SB_120323
801,RDEC16-801-1_Weekday-14,41203171,,1,102,801SB_120323
801,RDEC16-801-1_Weekday-14,41203172,,1,104,801SB_120323
801,RDEC16-801-1_Weekday-14,41203173,,1,110,801SB_120323
801,RDEC16-801-1_Weekday-14,41203174,,1,112,801SB_120323
801,RDEC16-801-1_Weekday-14,41203175,,1,131,801SB_120323
801,RDEC16-801-1_Weekday-14,41203176,,1,104,801SB_120323
806,RDEC16-801-1_Weekday-14,41203177,,1,609,806SB_160306
806,RDEC16-801-1_Weekday-14,41203178,,0,609,806NB_160306
806,RDEC16-801-1_Weekday-14,41203179,,1,612,806SB_160306
806,RDEC16-801-1_Weekday-14,41203180,,1,602,806SB_160306
806,RDEC16-801-1_Weekday-14,41203181,,1,604,806SB_160306
806,RDEC16-801-1_Weekday-14,41203182,,1,605,806SB_160306
806,RDEC16-801-1_Weekday-14,41203183,,1,608,806SB_160306
806,RDEC16-801-1_Weekday-14,41203184,,1,607,806SB_160306
